Date,AMZN,DPZ,BTC,NFLX
2014-06-18,334.380005,68.527672,600.169983,64.097145
2014-06-19,327.0,68.384888,590.75,63.055714
2014-06-20,324.200012,68.346794,597.039978,62.882858
2014-06-23,327.23999,68.13739,588.77002,62.78857
2014-06-24,324.160004,68.651421,568.450012,62.337143
2014-06-25,327.440002,68.936989,582.700012,63.458572
2014-06-26,325.690002,69.07975,602.22998,62.80143
2014-06-27,324.570007,69.470055,597.559998,63.154285
2014-06-30,324.779999,69.574738,643.190002,62.942856
2014-07-01,332.390015,70.479065,645.719971,67.585716
2014-07-02,332.850006,69.888885,638.030029,66.677139
2014-07-03,337.48999,70.088783,623.960022,67.478569
2014-07-07,333.549988,70.01265,615.320007,65.802856
2014-07-08,323.809998,69.869858,623.0,63.578571
2014-07-09,329.970001,71.040695,618.390015,63.285713
2014-07-10,327.920013,70.155434,632.900024,62.650002
2014-07-11,346.200012,70.041191,635.900024,62.851429
2014-07-14,355.320007,70.107826,619.599976,64.654289
2014-07-15,354.440002,69.727066,614.799988,64.155716
2014-07-16,355.899994,69.527161,626.580017,63.491428
2014-07-17,352.450012,69.108322,627.469971,62.765713
2014-07-18,358.660004,69.708031,627.039978,63.452858
2014-07-21,359.76001,69.860329,622.530029,64.564285
2014-07-22,360.839996,72.449532,621.690002,61.584286
2014-07-23,358.140015,71.802231,601.869995,61.128571
2014-07-24,358.609985,71.021667,600.5,60.76857
2014-07-25,324.01001,70.659943,596.0,60.265713
2014-07-28,320.410004,70.479065,585.77002,60.665714
2014-07-29,320.0,70.317245,564.640015,60.611427
2014-07-30,322.51001,70.01265,589.52002,62.05143
2014-07-31,312.98999,68.537186,598.780029,60.388573
2014-08-01,307.059998,66.795204,591.719971,60.771427
2014-08-04,313.649994,67.870865,588.76001,60.385715
2014-08-05,312.320007,67.870865,589.77002,60.407143
2014-08-06,313.890015,67.899399,592.799988,61.471428
2014-08-07,311.450012,67.90892,595.849976,64.238571
2014-08-08,316.799988,68.594299,589.52002,63.692856
2014-08-11,318.329987,69.251129,567.659973,64.505714
2014-08-12,319.320007,70.155434,542.099976,63.772858
2014-08-13,326.279999,70.907425,504.799988,64.504288
2014-08-14,333.209991,71.154907,496.450012,64.410004
2014-08-15,333.630005,70.964546,522.01001,65.584282
2014-08-18,334.529999,71.430977,485.119995,66.571426
2014-08-19,335.130005,71.535698,516.780029,66.878571
2014-08-20,335.779999,71.069252,517.940002,67.455711
2014-08-21,332.910004,71.154907,516.099976,67.435715
2014-08-22,331.589996,70.469551,497.679993,68.455711
2014-08-25,334.019989,71.421463,512.559998,68.704285
2014-08-26,341.829987,71.63089,515.22998,68.480003
2014-08-27,343.179993,71.545204,510.75,67.814285
2014-08-28,340.019989,71.640396,512.559998,67.887146
2014-08-29,339.040009,71.821251,505.959991,68.234283
2014-09-02,342.380005,72.344803,480.040009,68.085716
2014-09-03,339.0,71.973549,490.98999,68.19857
2014-09-04,345.950012,71.754631,483.649994,67.524284
2014-09-05,346.380005,72.75412,484.470001,67.954285
2014-09-08,342.339996,72.401924,474.899994,68.475716
2014-09-09,329.75,71.906937,479.700012,68.43
2014-09-10,331.329987,72.554222,478.48999,69.19857
2014-09-11,330.519989,72.812073,477.730011,68.794289
2014-09-12,331.190002,72.611526,478.170013,68.078575
2014-09-15,323.890015,72.783432,466.75,65.39286
2014-09-16,327.76001,73.136818,461.089996,65.272858
2014-09-17,324.0,73.127266,424.26001,64.932854
2014-09-18,325.0,73.289589,397.670013,65.572861
2014-09-19,331.320007,73.537918,411.529999,65.360001
2014-09-22,324.5,72.449181,436.859985,63.254284
2014-09-23,323.630005,72.420525,423.769989,63.414288
2014-09-24,328.209991,72.926704,412.290009,64.365715
2014-09-25,321.929993,72.869392,404.459991,63.355713
2014-09-26,323.209991,73.795761,399.019989,64.10714
2014-09-29,321.820007,74.139595,388.170013,64.222855
2014-09-30,322.440002,73.49971,382.839996,64.454285
2014-10-01,317.459991,73.633415,375.140015,62.685715
2014-10-02,318.410004,74.091835,363.450012,64.28286
2014-10-03,322.73999,74.206436,335.320007,65.648575
